group_type,group_name,n_runs,mean_tpr,std_tpr,stderr_tpr,ci95_low_tpr,ci95_high_tpr,bootstrap_ci95_low_tpr,bootstrap_ci95_high_tpr,mean_fpr,std_fpr,stderr_fpr,ci95_low_fpr,ci95_high_fpr,bootstrap_ci95_low_fpr,bootstrap_ci95_high_fpr,mean_precision,std_precision,stderr_precision,ci95_low_precision,ci95_high_precision,bootstrap_ci95_low_precision,bootstrap_ci95_high_precision,mean_recall,std_recall,stderr_recall,ci95_low_recall,ci95_high_recall,bootstrap_ci95_low_recall,bootstrap_ci95_high_recall,mean_f1,std_f1,stderr_f1,ci95_low_f1,ci95_high_f1,bootstrap_ci95_low_f1,bootstrap_ci95_high_f1,mean_lead_time_s,std_lead_time_s,stderr_lead_time_s,ci95_low_lead_time_s,ci95_high_lead_time_s,bootstrap_ci95_low_lead_time_s,bootstrap_ci95_high_lead_time_s,mean_median_lead_time_s,std_median_lead_time_s,stderr_median_lead_time_s,ci95_low_median_lead_time_s,ci95_high_median_lead_time_s,bootstrap_ci95_low_median_lead_time_s,bootstrap_ci95_high_median_lead_time_s,mean_alarm_fp_fraction,std_alarm_fp_fraction,stderr_alarm_fp_fraction,ci95_low_alarm_fp_fraction,ci95_high_alarm_fp_fraction,bootstrap_ci95_low_alarm_fp_fraction,bootstrap_ci95_high_alarm_fp_fraction,mean_paper_af,std_paper_af,stderr_paper_af,ci95_low_paper_af,ci95_high_paper_af,bootstrap_ci95_low_paper_af,bootstrap_ci95_high_paper_af,mean_paper_at,std_paper_at,stderr_paper_at,ci95_low_paper_at,ci95_high_paper_at,bootstrap_ci95_low_paper_at,bootstrap_ci95_high_paper_at,mean_paper_ntn,std_paper_ntn,stderr_paper_ntn,ci95_low_paper_ntn,ci95_high_paper_ntn,bootstrap_ci95_low_paper_ntn,bootstrap_ci95_high_paper_ntn
ablation_block,decision,24,0.6000000000000001,0.4791296457028144,0.09780192938436519,0.40830821840664433,0.7916917815933558,0.39999999999999997,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.49453535504684026,0.10094660663590604,0.4271446509936242,0.8228553490063758,0.4166666666666667,0.7916666666666666,0.6000000000000001,0.4791296457028144,0.09780192938436519,0.40830821840664433,0.7916917815933558,0.39999999999999997,0.775,0.6111111111111112,0.4848759324685837,0.0989748852586854,0.41712033600408777,0.8051018862181345,0.40740740740740744,0.7824074074074074,2.6121941932373574,2.5264406878677335,0.5157075458901742,1.601407403292616,3.6229809831820985,1.6771507226758533,3.6333018494976894,2.4853180150190988,2.2855564031327082,0.466537247168832,1.570905010568188,3.3997310194700097,1.6081426739692688,3.38464891910553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.4791296457028144,0.09780192938436519,0.40830821840664433,0.7916917815933558,0.39999999999999997,0.775,83.54166666666667,5.0817590814912545,1.0373097287840078,81.50853959825001,85.57479373508333,81.375,85.33333333333333
fault_family,paper_aligned,24,0.6000000000000001,0.4791296457028144,0.09780192938436519,0.40830821840664433,0.7916917815933558,0.39999999999999997,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.49453535504684026,0.10094660663590604,0.4271446509936242,0.8228553490063758,0.4166666666666667,0.7916666666666666,0.6000000000000001,0.4791296457028144,0.09780192938436519,0.40830821840664433,0.7916917815933558,0.39999999999999997,0.775,0.6111111111111112,0.4848759324685837,0.0989748852586854,0.41712033600408777,0.8051018862181345,0.40740740740740744,0.7824074074074074,2.6121941932373574,2.5264406878677335,0.5157075458901742,1.601407403292616,3.6229809831820985,1.6771507226758533,3.6333018494976894,2.4853180150190988,2.2855564031327082,0.466537247168832,1.570905010568188,3.3997310194700097,1.6081426739692688,3.38464891910553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.4791296457028144,0.09780192938436519,0.40830821840664433,0.7916917815933558,0.39999999999999997,0.775,83.54166666666667,5.0817590814912545,1.0373097287840078,81.50853959825001,85.57479373508333,81.375,85.33333333333333
study_scope,paper_faithful,24,0.6000000000000001,0.4791296457028144,0.09780192938436519,0.40830821840664433,0.7916917815933558,0.39999999999999997,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.49453535504684026,0.10094660663590604,0.4271446509936242,0.8228553490063758,0.4166666666666667,0.7916666666666666,0.6000000000000001,0.4791296457028144,0.09780192938436519,0.40830821840664433,0.7916917815933558,0.39999999999999997,0.775,0.6111111111111112,0.4848759324685837,0.0989748852586854,0.41712033600408777,0.8051018862181345,0.40740740740740744,0.7824074074074074,2.6121941932373574,2.5264406878677335,0.5157075458901742,1.601407403292616,3.6229809831820985,1.6771507226758533,3.6333018494976894,2.4853180150190988,2.2855564031327082,0.466537247168832,1.570905010568188,3.3997310194700097,1.6081426739692688,3.38464891910553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.4791296457028144,0.09780192938436519,0.40830821840664433,0.7916917815933558,0.39999999999999997,0.775,83.54166666666667,5.0817590814912545,1.0373097287840078,81.50853959825001,85.57479373508333,81.375,85.33333333333333
variant_fault_family,paper_fidelity_research_anchor|paper_aligned,24,0.6000000000000001,0.4791296457028144,0.09780192938436519,0.40830821840664433,0.7916917815933558,0.39999999999999997,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.49453535504684026,0.10094660663590604,0.4271446509936242,0.8228553490063758,0.4166666666666667,0.7916666666666666,0.6000000000000001,0.4791296457028144,0.09780192938436519,0.40830821840664433,0.7916917815933558,0.39999999999999997,0.775,0.6111111111111112,0.4848759324685837,0.0989748852586854,0.41712033600408777,0.8051018862181345,0.40740740740740744,0.7824074074074074,2.6121941932373574,2.5264406878677335,0.5157075458901742,1.601407403292616,3.6229809831820985,1.6771507226758533,3.6333018494976894,2.4853180150190988,2.2855564031327082,0.466537247168832,1.570905010568188,3.3997310194700097,1.6081426739692688,3.38464891910553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.4791296457028144,0.09780192938436519,0.40830821840664433,0.7916917815933558,0.39999999999999997,0.775,83.54166666666667,5.0817590814912545,1.0373097287840078,81.50853959825001,85.57479373508333,81.375,85.33333333333333
