variant,fault_id,n_runs_with_som,mean_som_cols,mean_som_dim,mean_som_init_trials,mean_som_kfold,mean_som_lr,mean_som_neighbor_dist_h_mean,mean_som_neighbor_dist_v_mean,mean_som_quantization_mean_bmu_dist,mean_som_quantization_n_samples,mean_som_rows,mean_som_scale_max,mean_som_scale_mean,mean_som_scale_min,mean_som_scale_std,mean_som_selected_fold,mean_som_selected_init,mean_som_sigma,mean_som_threshold_saved,mean_som_training_steps,mean_som_umatrix_mean,mean_som_unit_weight_l2_mean,mean_som_unit_weight_l2_std,mean_som_validation_accuracy,mean_som_weight_frobenius,mean_som_weight_mean,mean_som_weight_std
paper_fidelity_research_anchor,cpu_hog_like,8,32.0,9.0,3.0,3.0,0.7000000000000001,5.879295834969046,6.077679700619059,25.79952537275283,84.125,32.0,79845888.0,8871768.554952739,0.04844650153381821,25093140.574169043,1.0,0.625,4.0,2.82828531136503,989.5,5.978487767794053,210.76337675483717,43.37528036139712,0.9270833333333334,6932.135867449737,45.28781920618102,56.154630820348494
paper_fidelity_research_anchor,mem_leak,8,32.0,9.0,3.0,3.0,0.7000000000000001,245.8038261440311,231.52832053676,33323.56320938672,96.875,32.0,79793152.0,8865909.001329375,0.11828934737064711,25076567.24761361,1.0,0.75,4.0,4.28957582839794,987.625,238.66607334039554,1561.4844865550085,5024.933711280103,0.9208333333333334,168389.4796786906,198.22442374100106,1742.8140610759608
paper_fidelity_research_anchor,net_hog_like_latency,8,32.0,9.0,3.0,3.0,0.7000000000000001,1.262835604612552,1.366090532282441,0.18895129816302067,8.375,32.0,79913062.4,8879232.37315193,0.04817754618273638,25114251.452819012,1.0,0.25,4.0,1.840344739005874,985.0,1.3144630684474965,192.31718844660517,9.262747912420823,0.9333333333333333,6161.327195030177,42.71505677822064,47.90127283738251
