fault_id,variant,anomaly_quantile,n_runs,mean_tpr,mean_fpr,mean_alarm_fp_fraction,mean_paper_af,mean_paper_at,mean_precision,mean_recall,mean_f1
lock_convoy,paper_fidelity_fault_geometry,0.85,4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
mem_leak,paper_fidelity_fault_geometry,0.85,4,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5
