fault_id,variant,anchor_variant,delta_mean_tpr,delta_mean_fpr,delta_mean_precision,delta_mean_recall,delta_mean_f1,delta_mean_lead_time_s
cpu_hog_like,screen_smooth_streak,paper_fidelity_anchor,0.0,0.0,0.0,0.0,0.0,0.0
cpu_hog_like,screen_threshold,paper_fidelity_anchor,0.0,0.0,0.0,0.0,0.0,0.0
cpu_hog_like,screen_training_topology,paper_fidelity_anchor,0.0,0.0,0.0,0.0,0.0,0.0
mem_leak,screen_smooth_streak,paper_fidelity_anchor,0.0,0.0,0.0,0.0,0.0,0.0
mem_leak,screen_threshold,paper_fidelity_anchor,0.0,0.0,0.0,0.0,0.0,0.0
mem_leak,screen_training_topology,paper_fidelity_anchor,0.0,0.0,0.0,0.0,0.0,0.0
net_hog_like_latency,screen_smooth_streak,paper_fidelity_anchor,0.0,0.0,0.0,0.0,0.0,0.0
net_hog_like_latency,screen_threshold,paper_fidelity_anchor,0.0,0.0,0.0,0.0,0.0,0.0
net_hog_like_latency,screen_training_topology,paper_fidelity_anchor,0.0,0.0,0.0,0.0,0.0,0.0
