fault_id,variant,anchor_variant,n_pairs,mean_delta_f1,ci95_low_delta_f1,ci95_high_delta_f1,sign_test_pvalue_f1,n_positive_delta_f1,mean_delta_tpr,ci95_low_delta_tpr,ci95_high_delta_tpr,sign_test_pvalue_tpr,n_positive_delta_tpr,mean_delta_fpr,ci95_low_delta_fpr,ci95_high_delta_fpr,sign_test_pvalue_fpr,n_negative_delta_fpr,mean_delta_lead_time_s,ci95_low_delta_lead_time_s,ci95_high_delta_lead_time_s,sign_test_pvalue_lead_time_s,n_positive_delta_lead_time_s,sign_test_pvalue_f1_bh,sign_test_pvalue_tpr_bh,sign_test_pvalue_fpr_bh,sign_test_pvalue_lead_time_s_bh
cpu_hog_like,screen_smooth_streak,paper_fidelity_anchor,1,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0
cpu_hog_like,screen_threshold,paper_fidelity_anchor,1,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0
cpu_hog_like,screen_training_topology,paper_fidelity_anchor,1,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0
mem_leak,screen_smooth_streak,paper_fidelity_anchor,1,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0
mem_leak,screen_threshold,paper_fidelity_anchor,1,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0
mem_leak,screen_training_topology,paper_fidelity_anchor,1,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0
net_hog_like_latency,screen_smooth_streak,paper_fidelity_anchor,1,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0
net_hog_like_latency,screen_threshold,paper_fidelity_anchor,1,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0
net_hog_like_latency,screen_training_topology,paper_fidelity_anchor,1,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0
