group_type,group_name,n_runs,mean_tpr,std_tpr,stderr_tpr,ci95_low_tpr,ci95_high_tpr,bootstrap_ci95_low_tpr,bootstrap_ci95_high_tpr,mean_fpr,std_fpr,stderr_fpr,ci95_low_fpr,ci95_high_fpr,bootstrap_ci95_low_fpr,bootstrap_ci95_high_fpr,mean_precision,std_precision,stderr_precision,ci95_low_precision,ci95_high_precision,bootstrap_ci95_low_precision,bootstrap_ci95_high_precision,mean_recall,std_recall,stderr_recall,ci95_low_recall,ci95_high_recall,bootstrap_ci95_low_recall,bootstrap_ci95_high_recall,mean_f1,std_f1,stderr_f1,ci95_low_f1,ci95_high_f1,bootstrap_ci95_low_f1,bootstrap_ci95_high_f1,mean_lead_time_s,std_lead_time_s,stderr_lead_time_s,ci95_low_lead_time_s,ci95_high_lead_time_s,bootstrap_ci95_low_lead_time_s,bootstrap_ci95_high_lead_time_s,mean_median_lead_time_s,std_median_lead_time_s,stderr_median_lead_time_s,ci95_low_median_lead_time_s,ci95_high_median_lead_time_s,bootstrap_ci95_low_median_lead_time_s,bootstrap_ci95_high_median_lead_time_s,mean_alarm_fp_fraction,std_alarm_fp_fraction,stderr_alarm_fp_fraction,ci95_low_alarm_fp_fraction,ci95_high_alarm_fp_fraction,bootstrap_ci95_low_alarm_fp_fraction,bootstrap_ci95_high_alarm_fp_fraction,mean_paper_af,std_paper_af,stderr_paper_af,ci95_low_paper_af,ci95_high_paper_af,bootstrap_ci95_low_paper_af,bootstrap_ci95_high_paper_af,mean_paper_at,std_paper_at,stderr_paper_at,ci95_low_paper_at,ci95_high_paper_at,bootstrap_ci95_low_paper_at,bootstrap_ci95_high_paper_at,mean_paper_ntn,std_paper_ntn,stderr_paper_ntn,ci95_low_paper_ntn,ci95_high_paper_ntn,bootstrap_ci95_low_paper_ntn,bootstrap_ci95_high_paper_ntn
ablation_block,decision,12,0.3333333333333333,0.492365963917331,0.14213381090374033,0.054751063962002244,0.6119156027046644,0.08333333333333333,0.5833333333333334,0.640625385511194,0.4746520852233855,0.13702025458756942,0.3720656865195579,0.90918508450283,0.39379567536626653,0.8851833552920509,0.02604128115547265,0.04253790251390024,0.012279634733581181,0.001973197077653536,0.050109365233291764,0.004419191919191919,0.05196552111244343,0.3333333333333333,0.492365963917331,0.14213381090374033,0.054751063962002244,0.6119156027046644,0.08333333333333333,0.5833333333333334,0.04783197276375791,0.07709961155922154,0.02225674074406607,0.004208760905388416,0.0914551846221274,0.00839328537170264,0.09500000000000001,12.587343797345698,19.46819221202417,5.619983007123766,1.5721771033831171,23.60251049130828,2.699167484586889,23.005694791223064,13.746698359648386,21.032336000161617,6.071512425689984,1.846534005296018,25.646862714000754,3.0861971974372864,24.94989804426829,0.640625385511194,0.4746520852233855,0.13702025458756942,0.3720656865195579,0.90918508450283,0.39379567536626653,0.8851833552920509,0.6666666666666666,0.49236596391733095,0.1421338109037403,0.3880843972953356,0.9452489360379976,0.4166666666666667,0.9166666666666666,0.3333333333333333,0.492365963917331,0.14213381090374033,0.054751063962002244,0.6119156027046644,0.08333333333333333,0.5833333333333334,18.75,27.703380167901404,7.997276998700208,3.075337082547593,34.42466291745241,4.666666666666667,33.083333333333336
ablation_block,training,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.816496580927726,0.408248290463863,54.19983335069083,55.80016664930917,54.25,55.75
fault_family,paper_aligned,16,0.25,0.4472135954999579,0.11180339887498948,0.03086533820502063,0.46913466179497937,0.0625,0.4375,0.4804690391333955,0.4972888681480873,0.12432221703702183,0.23679749374083273,0.7241405845259583,0.23684049829018075,0.7141646913073084,0.01953096086660449,0.038243648383976134,0.009560912095994033,0.000791573158456186,0.0382703485747528,0.0033143939393939395,0.03752766428328226,0.25,0.4472135954999579,0.11180339887498948,0.03086533820502063,0.46913466179497937,0.0625,0.4375,0.03587397957281843,0.06940295093814094,0.017350737734535236,0.0018665336131293703,0.0698814255325075,0.006294964028776979,0.06850887165914937,9.440507848009274,17.596286084787387,4.399071521196847,0.8183276664634533,18.062688029555094,2.0243756134401667,18.243219099793727,10.31002376973629,19.031317840573756,4.757829460143439,0.9846780278551499,19.63536951161743,2.314647898077965,19.531224459409714,0.4804690391333955,0.4972888681480873,0.12432221703702183,0.23679749374083273,0.7241405845259583,0.23684049829018075,0.7141646913073084,0.5,0.5163977794943222,0.12909944487358055,0.2469650880477821,0.753034911952218,0.25,0.75,0.25,0.4472135954999579,0.11180339887498948,0.03086533820502063,0.46913466179497937,0.0625,0.4375,27.8125,28.736083588408494,7.1840208971021235,13.731819041679838,41.89318095832016,14.0,41.6875
study_scope,extended,12,0.3333333333333333,0.492365963917331,0.14213381090374033,0.054751063962002244,0.6119156027046644,0.08333333333333333,0.5833333333333334,0.640625385511194,0.47465208522338553,0.13702025458756942,0.3720656865195579,0.90918508450283,0.390625385511194,0.8802087188445274,0.02604128115547265,0.04253790251390023,0.01227963473358118,0.0019731970776535393,0.050109365233291764,0.004419191919191919,0.05173945734827514,0.3333333333333333,0.492365963917331,0.14213381090374033,0.054751063962002244,0.6119156027046644,0.08333333333333333,0.5833333333333334,0.04783197276375791,0.07709961155922156,0.022256740744066077,0.004208760905388402,0.09145518462212743,0.00839328537170264,0.09500000000000001,12.587343797345698,19.46819221202417,5.619983007123766,1.5721771033831171,23.60251049130828,2.699167484586889,22.942809101887594,13.746698359648386,21.032336000161617,6.071512425689984,1.846534005296018,25.646862714000754,3.0861971974372864,25.019474029541016,0.640625385511194,0.47465208522338553,0.13702025458756942,0.3720656865195579,0.90918508450283,0.390625385511194,0.8802087188445274,0.6666666666666666,0.49236596391733095,0.1421338109037403,0.3880843972953356,0.9452489360379976,0.4166666666666667,0.9166666666666666,0.3333333333333333,0.492365963917331,0.14213381090374033,0.054751063962002244,0.6119156027046644,0.08333333333333333,0.5833333333333334,18.333333333333332,27.083484848061033,7.818328633810594,3.0094092110645683,33.65725745560209,4.583333333333333,32.333333333333336
study_scope,paper_faithful,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,1.2583057392117916,0.6291528696058958,55.01686037557244,57.48313962442756,55.25,57.5
variant_fault_family,paper_fidelity_anchor|paper_aligned,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,1.2583057392117916,0.6291528696058958,55.01686037557244,57.48313962442756,55.25,57.5
variant_fault_family,screen_smooth_streak|paper_aligned,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.921876156533582,0.034778560789955434,0.017389280394977717,0.8877931669594257,0.9559591461077384,0.8940457950289411,0.949028326745718,0.07812384346641796,0.03477856078995543,0.017389280394977714,0.04404085389226164,0.11220683304057427,0.05097167325428195,0.10595420497105891,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.14349591829127373,0.059099656753267914,0.029549828376633957,0.08557825467307117,0.20141358190947628,0.09699183658254744,0.1901798561151079,37.762031392037095,11.053298378095864,5.526649189047932,26.929798981503147,48.59426380257104,31.42045330149787,48.767516283826396,41.24009507894516,10.498087998500901,5.249043999250451,30.951968840414274,51.528221317476046,33.41037738323212,50.69790834188461,0.921876156533582,0.034778560789955434,0.017389280394977717,0.8877931669594257,0.9559591461077384,0.8940457950289411,0.949028326745718,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
variant_fault_family,screen_threshold|paper_aligned,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
variant_fault_family,screen_training_topology|paper_aligned,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.816496580927726,0.408248290463863,54.19983335069083,55.80016664930917,54.25,55.75
