fault_id,variant,anchor_variant,n_pairs,mean_delta_f1,ci95_low_delta_f1,ci95_high_delta_f1,sign_test_pvalue_f1,n_positive_delta_f1,mean_delta_tpr,ci95_low_delta_tpr,ci95_high_delta_tpr,sign_test_pvalue_tpr,n_positive_delta_tpr,mean_delta_fpr,ci95_low_delta_fpr,ci95_high_delta_fpr,sign_test_pvalue_fpr,n_negative_delta_fpr,mean_delta_lead_time_s,ci95_low_delta_lead_time_s,ci95_high_delta_lead_time_s,sign_test_pvalue_lead_time_s,n_positive_delta_lead_time_s,sign_test_pvalue_f1_bh,sign_test_pvalue_tpr_bh,sign_test_pvalue_fpr_bh,sign_test_pvalue_lead_time_s_bh
cpu_hog_like,screen_smooth_streak,paper_fidelity_anchor,2,0.09699183658254744,0.09326424870466321,0.10071942446043167,0.5,2,1.0,1.0,1.0,0.5,2,0.949028326745718,0.946969696969697,0.9510869565217391,0.5,0,32.2157153231757,30.625191279820033,33.80623936653137,0.5,2,0.5,0.5,0.5,0.5
cpu_hog_like,screen_threshold,paper_fidelity_anchor,2,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.5,0,1.0,1.0,1.0,0.5,0,0.0,0.0,0.0,0.5,0,0.5,0.5,0.5,0.5
cpu_hog_like,screen_training_topology,paper_fidelity_anchor,2,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.5,0,0.5,0.5,0.5,0.5
mem_leak,screen_smooth_streak,paper_fidelity_anchor,2,0.19,0.16,0.21999999999999997,0.5,2,1.0,1.0,1.0,0.5,2,0.894723986321446,0.8764044943820225,0.9130434782608695,0.5,0,43.30834746089849,32.39000981504267,54.2266851067543,0.5,2,0.5,0.5,0.5,0.5
mem_leak,screen_threshold,paper_fidelity_anchor,2,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.5,0,1.0,1.0,1.0,0.5,0,0.0,0.0,0.0,0.5,0,0.5,0.5,0.5,0.5
mem_leak,screen_training_topology,paper_fidelity_anchor,2,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.5,0,0.5,0.5,0.5,0.5
