variant,fault_id,n_runs,fault_family,study_scope,ablation_block,hypothesis_id,faithfulness_label,mean_tpr,std_tpr,stderr_tpr,ci95_low_tpr,ci95_high_tpr,bootstrap_ci95_low_tpr,bootstrap_ci95_high_tpr,mean_fpr,std_fpr,stderr_fpr,ci95_low_fpr,ci95_high_fpr,bootstrap_ci95_low_fpr,bootstrap_ci95_high_fpr,mean_precision,std_precision,stderr_precision,ci95_low_precision,ci95_high_precision,bootstrap_ci95_low_precision,bootstrap_ci95_high_precision,mean_recall,std_recall,stderr_recall,ci95_low_recall,ci95_high_recall,bootstrap_ci95_low_recall,bootstrap_ci95_high_recall,mean_f1,std_f1,stderr_f1,ci95_low_f1,ci95_high_f1,bootstrap_ci95_low_f1,bootstrap_ci95_high_f1,mean_lead_time_s,std_lead_time_s,stderr_lead_time_s,ci95_low_lead_time_s,ci95_high_lead_time_s,bootstrap_ci95_low_lead_time_s,bootstrap_ci95_high_lead_time_s,mean_median_lead_time_s,std_median_lead_time_s,stderr_median_lead_time_s,ci95_low_median_lead_time_s,ci95_high_median_lead_time_s,bootstrap_ci95_low_median_lead_time_s,bootstrap_ci95_high_median_lead_time_s
current_default,cpu_hog_like,1,paper_aligned,extended,fault,H0,extended-beyond-paper,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.996309963099631,0.0,0.0,0.996309963099631,0.996309963099631,0.996309963099631,0.996309963099631,0.0036900369003690036,0.0,0.0,0.0036900369003690036,0.0036900369003690036,0.0036900369003690036,0.0036900369003690036,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.007352941176470588,0.0,0.0,0.007352941176470588,0.007352941176470588,0.007352941176470588,0.007352941176470588,52.634158968925476,0.0,0.0,52.634158968925476,52.634158968925476,52.634158968925476,52.634158968925476,52.634158968925476,0.0,0.0,52.634158968925476,52.634158968925476,52.634158968925476,52.634158968925476
current_default,mem_leak,1,paper_aligned,extended,fault,H0,extended-beyond-paper,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9981412639405205,0.0,0.0,0.9981412639405205,0.9981412639405205,0.9981412639405205,0.9981412639405205,0.0018587360594795538,0.0,0.0,0.0018587360594795538,0.0018587360594795538,0.0018587360594795538,0.0018587360594795538,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0037105751391465678,0.0,0.0,0.0037105751391465678,0.0037105751391465678,0.0037105751391465678,0.0037105751391465678,59.25758647918701,0.0,0.0,59.25758647918701,59.25758647918701,59.25758647918701,59.25758647918701,59.25758647918701,0.0,0.0,59.25758647918701,59.25758647918701,59.25758647918701,59.25758647918701
current_default,net_hog_like_latency,1,paper_aligned,extended,fault,H0,extended-beyond-paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_fidelity,cpu_hog_like,1,paper_aligned,extended,fault,H0,extended-beyond-paper,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.976,0.0,0.0,0.976,0.976,0.976,0.976,0.024,0.0,0.0,0.024,0.024,0.024,0.024,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.046875,0.0,0.0,0.046875,0.046875,0.046875,0.046875,44.18031565348307,0.0,0.0,44.18031565348307,44.18031565348307,44.18031565348307,44.18031565348307,44.181055545806885,0.0,0.0,44.181055545806885,44.181055545806885,44.181055545806885,44.181055545806885
paper_fidelity,mem_leak,1,paper_aligned,extended,fault,H0,extended-beyond-paper,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9508196721311475,0.0,0.0,0.9508196721311475,0.9508196721311475,0.9508196721311475,0.9508196721311475,0.04918032786885246,0.0,0.0,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.04918032786885246,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09375,0.0,0.0,0.09375,0.09375,0.09375,0.09375,31.65569544831912,0.0,0.0,31.65569544831912,31.65569544831912,31.65569544831912,31.65569544831912,31.47094213962555,0.0,0.0,31.47094213962555,31.47094213962555,31.47094213962555,31.47094213962555
paper_fidelity,net_hog_like_latency,1,paper_aligned,extended,fault,H0,extended-beyond-paper,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9560229445506692,0.0,0.0,0.9560229445506692,0.9560229445506692,0.9560229445506692,0.9560229445506692,0.04397705544933078,0.0,0.0,0.04397705544933078,0.04397705544933078,0.04397705544933078,0.04397705544933078,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.08424908424908424,0.0,0.0,0.08424908424908424,0.08424908424908424,0.08424908424908424,0.08424908424908424,32.31511635365693,0.0,0.0,32.31511635365693,32.31511635365693,32.31511635365693,32.31511635365693,36.402671337127686,0.0,0.0,36.402671337127686,36.402671337127686,36.402671337127686,36.402671337127686
