variant,fault_id,n_runs_with_som,mean_som_cols,mean_som_dim,mean_som_init_trials,mean_som_kfold,mean_som_lr,mean_som_neighbor_dist_h_mean,mean_som_neighbor_dist_v_mean,mean_som_quantization_mean_bmu_dist,mean_som_quantization_n_samples,mean_som_rows,mean_som_scale_max,mean_som_scale_mean,mean_som_scale_min,mean_som_scale_std,mean_som_selected_fold,mean_som_selected_init,mean_som_sigma,mean_som_threshold_saved,mean_som_training_steps,mean_som_umatrix_mean,mean_som_unit_weight_l2_mean,mean_som_unit_weight_l2_std,mean_som_validation_accuracy,mean_som_weight_frobenius,mean_som_weight_mean,mean_som_weight_std
paper_fidelity_research_anchor,disk_fill,2,32.0,9.0,3.0,3.0,0.7,146.3358329359656,134.78396265951056,25253.118522487173,101.0,32.0,81129472.0,9014389.025577087,0.04733352971508506,25496532.098523077,1.0,2.0,4.0,1.432072767032197,984.5,140.55989779773807,1000.8841436667816,3037.3576615101138,0.9416666666666667,102336.63498716097,136.06379482511198,1057.2873454573046
paper_fidelity_research_anchor,lock_convoy,4,32.0,9.0,3.0,3.0,0.7,9.468771017533808,8.646090895293979,12.958661021578926,59.75,32.0,79685632.0,8853962.38329724,0.04748722135541064,25042776.954368442,1.0,1.0,4.0,2.4613851361647114,1053.0,9.057430956413892,219.31301422924275,84.30469730353182,0.9249999999999999,7655.2622789869465,44.43649311255693,65.81573790723023
