variant,fault_id,n_runs,mean_tpr,mean_fpr,mean_precision,mean_recall,mean_f1,mean_lead_time_s
current_default,cpu_hog_like,1,1.0,0.996309963099631,0.0036900369003690036,1.0,0.007352941176470588,52.634158968925476
current_default,mem_leak,1,1.0,0.9981412639405205,0.0018587360594795538,1.0,0.0037105751391465678,59.25758647918701
current_default,net_hog_like_latency,1,0.0,1.0,0.0,0.0,0.0,0.0
paper_fidelity,cpu_hog_like,1,1.0,0.976,0.024,1.0,0.046875,44.18031565348307
paper_fidelity,mem_leak,1,1.0,0.9508196721311475,0.04918032786885246,1.0,0.09375,31.65569544831912
paper_fidelity,net_hog_like_latency,1,1.0,0.9560229445506692,0.04397705544933078,1.0,0.08424908424908424,32.31511635365693
