run_id,variant,fault_id,fault_family,study_scope,ablation_block,hypothesis_id,interpretation_note,faithfulness_label,intensity_level,duration_level,pending_level,train_mode,repeat_idx,seed_idx,run_seed,loadgen_seed,tp,fp,fn,tn,tpr,fpr,precision,recall,f1,mean_lead_time_s,median_lead_time_s,num_scored_alarms,pending_window_s,som_smooth_k,anomaly_streak,anomaly_quantile,som_kfold,som_rows,som_cols,som_lr,som_sigma,poll_sec,bootstrap_target,expected_bootstrap_vectors,effective_bootstrap_vectors,required_bootstrap_vectors,bootstrap_vectors_ok,coverage_ok,observability_limited,top_feature,top_effect_size,degenerate_features,normal_variance_score,matching_mode,som_model_present,som_metrics_error,som_dim,som_training_steps,som_threshold_saved,som_init_trials,som_selected_fold,som_selected_init,som_validation_accuracy,som_normalization_mode,som_online_clip_mode,som_scale_mean,som_scale_std,som_scale_min,som_scale_max,som_weight_mean,som_weight_std,som_weight_frobenius,som_unit_weight_l2_mean,som_unit_weight_l2_std,som_neighbor_dist_h_mean,som_neighbor_dist_v_mean,som_umatrix_mean,som_quantization_mean_bmu_dist,som_quantization_n_samples
20260329T011344Z-paper_fidelity_replication_smoke-cpu_hog_like-ibase-dbase-wbase-s01-r01,paper_fidelity_replication_smoke,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-replication-smoke,Paper-faithful-with-proxy settings with multi-seed/repeat coverage.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,1,1,883845283,883845283,0,8,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,60.0,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,False,proc_mem_bytes,82845696.0,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,retry_rate",0.056916308850363334,many_to_many,True,,9,964,4.345906918281696,3,2,1,0.9166666666666666,train_max_100,none,9205080.457641384,26035889.31037719,0.04591715542521992,82845696.0,52.02938731571073,47.10528361388945,6737.78097114459,210.27956300179608,10.779117909758694,1.3283328679679498,1.4963422254116754,1.4123375466898125,1102.4032384998616,8
20260329T011344Z-paper_fidelity_replication_smoke-mem_leak-ibase-dbase-wbase-s01-r01,paper_fidelity_replication_smoke,mem_leak,paper_aligned,paper_faithful,decision,H-paper-replication-smoke,Paper-faithful-with-proxy settings with multi-seed/repeat coverage.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,1,1,3014633550,3014633550,3,26,0,3,1.0,0.896551724137931,0.10344827586206896,1.0,0.1875,2.9238394101460776,2.831855297088623,29,60.0,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,False,proc_mem_bytes,309532999.6799999,"db_inflight,disk_fill_mb,open_fds_sim,retry_rate",24065551.24735065,many_to_many,True,,9,963,10.675433751886311,3,1,1,0.9,train_max_100,none,9226925.980617102,26097677.176677633,0.04726973684210527,83042304.0,46.15791755816755,43.97035017008108,6119.911564451783,190.8218285632476,12.748928200198625,2.8328799836447933,1.263415348156232,2.0481476659005127,65453.449900775835,29
20260329T011344Z-paper_fidelity_replication_smoke-mem_leak-ibase-dbase-wbase-s02-r01,paper_fidelity_replication_smoke,mem_leak,paper_aligned,paper_faithful,decision,H-paper-replication-smoke,Paper-faithful-with-proxy settings with multi-seed/repeat coverage.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,1,2,1148396401,1148396401,5,29,0,5,1.0,0.8529411764705882,0.14705882352941177,1.0,0.25641025641025644,5.002062606811523,4.9634668827056885,34,60.0,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,False,proc_mem_bytes,362915289.1586206,"db_inflight,disk_fill_mb,open_fds_sim,proc_open_fds,retry_rate",29473872.604107376,many_to_many,True,,9,962,3.507609710721292,3,1,2,0.9,train_max_100,none,9258328.478468275,26186497.390552267,0.04348012718600951,83324928.0,52.55690899078065,47.28455332026592,6786.906470843599,211.85349756902878,10.030680736118985,1.4576120250570506,1.3648927326073,1.4112523788321751,61522.030050791625,34
