group_type,group_name,n_runs,mean_tpr,std_tpr,stderr_tpr,ci95_low_tpr,ci95_high_tpr,bootstrap_ci95_low_tpr,bootstrap_ci95_high_tpr,mean_fpr,std_fpr,stderr_fpr,ci95_low_fpr,ci95_high_fpr,bootstrap_ci95_low_fpr,bootstrap_ci95_high_fpr,mean_precision,std_precision,stderr_precision,ci95_low_precision,ci95_high_precision,bootstrap_ci95_low_precision,bootstrap_ci95_high_precision,mean_recall,std_recall,stderr_recall,ci95_low_recall,ci95_high_recall,bootstrap_ci95_low_recall,bootstrap_ci95_high_recall,mean_f1,std_f1,stderr_f1,ci95_low_f1,ci95_high_f1,bootstrap_ci95_low_f1,bootstrap_ci95_high_f1,mean_lead_time_s,std_lead_time_s,stderr_lead_time_s,ci95_low_lead_time_s,ci95_high_lead_time_s,bootstrap_ci95_low_lead_time_s,bootstrap_ci95_high_lead_time_s,mean_median_lead_time_s,std_median_lead_time_s,stderr_median_lead_time_s,ci95_low_median_lead_time_s,ci95_high_median_lead_time_s,bootstrap_ci95_low_median_lead_time_s,bootstrap_ci95_high_median_lead_time_s,mean_alarm_fp_fraction,std_alarm_fp_fraction,stderr_alarm_fp_fraction,ci95_low_alarm_fp_fraction,ci95_high_alarm_fp_fraction,bootstrap_ci95_low_alarm_fp_fraction,bootstrap_ci95_high_alarm_fp_fraction,mean_paper_af,std_paper_af,stderr_paper_af,ci95_low_paper_af,ci95_high_paper_af,bootstrap_ci95_low_paper_af,bootstrap_ci95_high_paper_af,mean_paper_at,std_paper_at,stderr_paper_at,ci95_low_paper_at,ci95_high_paper_at,bootstrap_ci95_low_paper_at,bootstrap_ci95_high_paper_at,mean_paper_ntn,std_paper_ntn,stderr_paper_ntn,ci95_low_paper_ntn,ci95_high_paper_ntn,bootstrap_ci95_low_paper_ntn,bootstrap_ci95_high_paper_ntn
ablation_block,decision,25,0.7433333333333333,0.43027768811418615,0.08605553762283723,0.5746644795925724,0.9120021870740942,0.56,0.9,0.04,0.16859989894992808,0.033719979789985616,-0.026091160388371802,0.1060911603883718,0.0,0.11333333333333334,0.72,0.445450250786691,0.0890900501573382,0.5453835016916171,0.8946164983083829,0.5266666666666666,0.88,0.7433333333333333,0.43027768811418615,0.08605553762283723,0.5746644795925724,0.9120021870740942,0.56,0.9,0.7190476190476189,0.43708475596870994,0.08741695119374199,0.5477103947078846,0.8903848433873532,0.5314285714285715,0.8733333333333333,3.0768941901524856,2.102123010152846,0.4204246020305692,2.25286197017257,3.900926410132401,2.191015400091807,3.821660033384959,3.074450354576111,2.100709081018041,0.4201418162036082,2.2509723948170386,3.897928314335183,2.1887534046173096,3.8183603525161742,0.04,0.16859989894992808,0.033719979789985616,-0.026091160388371802,0.1060911603883718,0.0,0.11333333333333334,0.040459770114942534,0.19991740929123616,0.03998348185824723,-0.03790785432722203,0.1188273945571071,0.0,0.12091954022988506,0.7433333333333333,0.43027768811418615,0.08605553762283723,0.5746644795925724,0.9120021870740942,0.56,0.9,79.36,16.772696066325572,3.3545392132651144,72.78510314200038,85.93489685799962,72.32,83.52
fault_family,extended,7,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.235422851358141,1.3876965182742393,0.5244999832262623,3.207402884234667,5.263442818481615,3.161703222138541,5.003376471996306,4.236313853945051,1.382749267356684,0.5226300981403641,3.2119588615899373,5.260668846300164,3.16268367426736,4.998791149684361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,82.71428571428571,4.191828786034631,1.584362358058488,79.60893549249107,85.81963593608035,79.85714285714286,85.71428571428571
fault_family,paper_aligned,18,0.6435185185185186,0.47296654142771494,0.1114792829059618,0.4250191240228335,0.8620179130142037,0.4166666666666667,0.8518518518518519,0.05555555555555555,0.1980295085953349,0.046676002800933675,-0.035929409934274445,0.14704052104538556,0.0,0.1574074074074074,0.6111111111111112,0.48507125007266594,0.1143323900950059,0.38701962652489963,0.8352025956973227,0.3796296296296296,0.8240740740740741,0.6435185185185186,0.47296654142771494,0.1114792829059618,0.4250191240228335,0.8620179130142037,0.4166666666666667,0.8518518518518519,0.6097883597883598,0.473883690610699,0.11169545704151106,0.3908652639869981,0.8287114555897215,0.373015873015873,0.814814814814815,2.626355266350287,2.1888869240836546,0.5159255957567053,1.6151410986671446,3.6375694340334292,1.6189940088325077,3.57291987074746,2.6226145492659674,2.1870639191286134,0.5154959093680899,1.6122425669045113,3.6329865316274237,1.6179340614212885,3.5652290715111628,0.05555555555555555,0.1980295085953349,0.046676002800933675,-0.035929409934274445,0.14704052104538556,0.0,0.1574074074074074,0.05619412515964241,0.23555842077982989,0.05552165223300396,-0.05262831321704535,0.16501656353633015,0.0,0.16794380587484037,0.6435185185185186,0.47296654142771494,0.1114792829059618,0.4250191240228335,0.8620179130142037,0.4166666666666667,0.8518518518518519,78.05555555555556,19.60933817829785,4.621965333484891,68.99650350192518,87.11460760918594,68.38888888888889,83.33333333333333
study_scope,paper_faithful,25,0.7433333333333333,0.43027768811418615,0.08605553762283723,0.5746644795925724,0.9120021870740942,0.56,0.9,0.04,0.16859989894992808,0.033719979789985616,-0.026091160388371802,0.1060911603883718,0.0,0.11333333333333334,0.72,0.445450250786691,0.0890900501573382,0.5453835016916171,0.8946164983083829,0.5266666666666666,0.88,0.7433333333333333,0.43027768811418615,0.08605553762283723,0.5746644795925724,0.9120021870740942,0.56,0.9,0.7190476190476189,0.43708475596870994,0.08741695119374199,0.5477103947078846,0.8903848433873532,0.5314285714285715,0.8733333333333333,3.0768941901524856,2.102123010152846,0.4204246020305692,2.25286197017257,3.900926410132401,2.191015400091807,3.821660033384959,3.074450354576111,2.100709081018041,0.4201418162036082,2.2509723948170386,3.897928314335183,2.1887534046173096,3.8183603525161742,0.04,0.16859989894992808,0.033719979789985616,-0.026091160388371802,0.1060911603883718,0.0,0.11333333333333334,0.040459770114942534,0.19991740929123616,0.03998348185824723,-0.03790785432722203,0.1188273945571071,0.0,0.12091954022988506,0.7433333333333333,0.43027768811418615,0.08605553762283723,0.5746644795925724,0.9120021870740942,0.56,0.9,79.36,16.772696066325572,3.3545392132651144,72.78510314200038,85.93489685799962,72.32,83.52
variant_fault_family,paper_fidelity_research_anchor|extended,7,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.235422851358141,1.3876965182742393,0.5244999832262623,3.207402884234667,5.263442818481615,3.161703222138541,5.003376471996306,4.236313853945051,1.382749267356684,0.5226300981403641,3.2119588615899373,5.260668846300164,3.16268367426736,4.998791149684361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,82.71428571428571,4.191828786034631,1.584362358058488,79.60893549249107,85.81963593608035,79.85714285714286,85.71428571428571
variant_fault_family,paper_fidelity_research_anchor|paper_aligned,18,0.6435185185185186,0.47296654142771494,0.1114792829059618,0.4250191240228335,0.8620179130142037,0.4166666666666667,0.8518518518518519,0.05555555555555555,0.1980295085953349,0.046676002800933675,-0.035929409934274445,0.14704052104538556,0.0,0.1574074074074074,0.6111111111111112,0.48507125007266594,0.1143323900950059,0.38701962652489963,0.8352025956973227,0.3796296296296296,0.8240740740740741,0.6435185185185186,0.47296654142771494,0.1114792829059618,0.4250191240228335,0.8620179130142037,0.4166666666666667,0.8518518518518519,0.6097883597883598,0.473883690610699,0.11169545704151106,0.3908652639869981,0.8287114555897215,0.373015873015873,0.814814814814815,2.626355266350287,2.1888869240836546,0.5159255957567053,1.6151410986671446,3.6375694340334292,1.6189940088325077,3.57291987074746,2.6226145492659674,2.1870639191286134,0.5154959093680899,1.6122425669045113,3.6329865316274237,1.6179340614212885,3.5652290715111628,0.05555555555555555,0.1980295085953349,0.046676002800933675,-0.035929409934274445,0.14704052104538556,0.0,0.1574074074074074,0.05619412515964241,0.23555842077982989,0.05552165223300396,-0.05262831321704535,0.16501656353633015,0.0,0.16794380587484037,0.6435185185185186,0.47296654142771494,0.1114792829059618,0.4250191240228335,0.8620179130142037,0.4166666666666667,0.8518518518518519,78.05555555555556,19.60933817829785,4.621965333484891,68.99650350192518,87.11460760918594,68.38888888888889,83.33333333333333
