run_id,variant,fault_id,fault_family,study_scope,ablation_block,hypothesis_id,interpretation_note,faithfulness_label,intensity_level,duration_level,pending_level,train_mode,repeat_idx,seed_idx,run_seed,loadgen_seed,tp,fp,fn,tn,tpr,fpr,precision,recall,f1,mean_lead_time_s,median_lead_time_s,num_scored_alarms,pending_window_s,som_smooth_k,anomaly_streak,anomaly_quantile,som_kfold,som_rows,som_cols,som_lr,som_sigma,poll_sec,bootstrap_target,expected_bootstrap_vectors,effective_bootstrap_vectors,required_bootstrap_vectors,bootstrap_vectors_ok,coverage_ok,observability_limited,top_feature,top_effect_size,degenerate_features,normal_variance_score,matching_mode,som_model_present,som_metrics_error,som_dim,som_training_steps,som_threshold_saved,som_init_trials,som_selected_fold,som_selected_init,som_validation_accuracy,som_normalization_mode,som_online_clip_mode,som_scale_mean,som_scale_std,som_scale_min,som_scale_max,som_weight_mean,som_weight_std,som_weight_frobenius,som_unit_weight_l2_mean,som_unit_weight_l2_std,som_neighbor_dist_h_mean,som_neighbor_dist_v_mean,som_umatrix_mean,som_quantization_mean_bmu_dist,som_quantization_n_samples
20260329T001256Z-paper_fidelity_smoke-cpu_hog_like-ibase-dbase-wbase-s01-r01,paper_fidelity_smoke,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-smoke-anchor,Paper-faithful-with-proxy learner profile for a short smoke campaign.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,1,1,639193590,639193590,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,5,3,0.85,,,,,,1.0,180,180,180,180,True,False,True,,0.0,,0.0,one_to_one,False,,,,,,,,,,,,,,,,,,,,,,,,
20260329T001256Z-paper_fidelity_smoke-mem_leak-ibase-dbase-wbase-s01-r01,paper_fidelity_smoke,mem_leak,paper_aligned,paper_faithful,decision,H-paper-smoke-anchor,Paper-faithful-with-proxy learner profile for a short smoke campaign.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,1,1,1878041801,1878041801,0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,60.0,5,3,0.85,,,,,,1.0,180,180,180,180,True,True,False,proc_mem_bytes,76609945.6,"db_inflight,disk_fill_mb,latency_p95,leak_mb,open_fds_sim,proc_mem_bytes,proc_open_fds,req_rate,retry_rate",0.0,one_to_one,False,,,,,,,,,,,,,,,,,,,,,,,,
20260329T001256Z-paper_fidelity_smoke-net_hog_like_latency-ibase-dbase-wbase-s01-r01,paper_fidelity_smoke,net_hog_like_latency,paper_aligned,paper_faithful,decision,H-paper-smoke-anchor,Paper-faithful-with-proxy learner profile for a short smoke campaign.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,1,1,1794010900,1794010900,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,5,3,0.85,,,,,,1.0,180,180,180,180,True,False,True,,0.0,,0.0,one_to_one,False,,,,,,,,,,,,,,,,,,,,,,,,
