group_type,group_name,n_runs,mean_tpr,std_tpr,stderr_tpr,ci95_low_tpr,ci95_high_tpr,bootstrap_ci95_low_tpr,bootstrap_ci95_high_tpr,mean_fpr,std_fpr,stderr_fpr,ci95_low_fpr,ci95_high_fpr,bootstrap_ci95_low_fpr,bootstrap_ci95_high_fpr,mean_precision,std_precision,stderr_precision,ci95_low_precision,ci95_high_precision,bootstrap_ci95_low_precision,bootstrap_ci95_high_precision,mean_recall,std_recall,stderr_recall,ci95_low_recall,ci95_high_recall,bootstrap_ci95_low_recall,bootstrap_ci95_high_recall,mean_f1,std_f1,stderr_f1,ci95_low_f1,ci95_high_f1,bootstrap_ci95_low_f1,bootstrap_ci95_high_f1,mean_lead_time_s,std_lead_time_s,stderr_lead_time_s,ci95_low_lead_time_s,ci95_high_lead_time_s,bootstrap_ci95_low_lead_time_s,bootstrap_ci95_high_lead_time_s,mean_median_lead_time_s,std_median_lead_time_s,stderr_median_lead_time_s,ci95_low_median_lead_time_s,ci95_high_median_lead_time_s,bootstrap_ci95_low_median_lead_time_s,bootstrap_ci95_high_median_lead_time_s
ablation_block,decision,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.33333333333333337,-0.3200000000000001,0.9866666666666668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fault_family,paper_aligned,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.33333333333333337,-0.3200000000000001,0.9866666666666668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study_scope,paper_faithful,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.33333333333333337,-0.3200000000000001,0.9866666666666668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
variant_fault_family,paper_fidelity_smoke|paper_aligned,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.33333333333333337,-0.3200000000000001,0.9866666666666668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
