group_type,group_name,n_runs,mean_tpr,std_tpr,stderr_tpr,ci95_low_tpr,ci95_high_tpr,bootstrap_ci95_low_tpr,bootstrap_ci95_high_tpr,mean_fpr,std_fpr,stderr_fpr,ci95_low_fpr,ci95_high_fpr,bootstrap_ci95_low_fpr,bootstrap_ci95_high_fpr,mean_precision,std_precision,stderr_precision,ci95_low_precision,ci95_high_precision,bootstrap_ci95_low_precision,bootstrap_ci95_high_precision,mean_recall,std_recall,stderr_recall,ci95_low_recall,ci95_high_recall,bootstrap_ci95_low_recall,bootstrap_ci95_high_recall,mean_f1,std_f1,stderr_f1,ci95_low_f1,ci95_high_f1,bootstrap_ci95_low_f1,bootstrap_ci95_high_f1,mean_lead_time_s,std_lead_time_s,stderr_lead_time_s,ci95_low_lead_time_s,ci95_high_lead_time_s,bootstrap_ci95_low_lead_time_s,bootstrap_ci95_high_lead_time_s,mean_median_lead_time_s,std_median_lead_time_s,stderr_median_lead_time_s,ci95_low_median_lead_time_s,ci95_high_median_lead_time_s,bootstrap_ci95_low_median_lead_time_s,bootstrap_ci95_high_median_lead_time_s
ablation_block,fault,6,0.8333333333333334,0.408248290463863,0.16666666666666669,0.5066666666666666,1.1600000000000001,0.5,1.0,0.9795489739536615,0.022073923662358337,0.009011641598987607,0.9618861564196458,0.9972117914876771,0.9640803268240186,0.9947654151634454,0.020451026046338635,0.022073923662358295,0.00901164159898759,0.0027882085123229587,0.038113843580354315,0.0052345848365546845,0.03566746725612258,0.8333333333333334,0.408248290463863,0.16666666666666669,0.5066666666666666,1.1600000000000001,0.5,1.0,0.03932293342745023,0.04212911552259099,0.01719913939085237,0.005612620221379587,0.07303324663352087,0.010274848575793954,0.06837101827910651,36.67381215059527,21.025010583921567,8.583424627870606,19.85029987996888,53.497324421221656,19.434161795150256,50.61504648129145,37.32440241177877,20.931748623095658,8.54535059179812,20.575515251854455,54.073289571703086,20.084628740946453,50.920362412929535
fault_family,paper_aligned,6,0.8333333333333334,0.408248290463863,0.16666666666666669,0.5066666666666666,1.1600000000000001,0.5,1.0,0.9795489739536615,0.022073923662358337,0.009011641598987607,0.9618861564196458,0.9972117914876771,0.9640803268240186,0.9947654151634454,0.020451026046338635,0.022073923662358295,0.00901164159898759,0.0027882085123229587,0.038113843580354315,0.0052345848365546845,0.03566746725612258,0.8333333333333334,0.408248290463863,0.16666666666666669,0.5066666666666666,1.1600000000000001,0.5,1.0,0.03932293342745023,0.04212911552259099,0.01719913939085237,0.005612620221379587,0.07303324663352087,0.010274848575793954,0.06837101827910651,36.67381215059527,21.025010583921567,8.583424627870606,19.85029987996888,53.497324421221656,19.434161795150256,50.61504648129145,37.32440241177877,20.931748623095658,8.54535059179812,20.575515251854455,54.073289571703086,20.084628740946453,50.920362412929535
study_scope,extended,6,0.8333333333333334,0.408248290463863,0.16666666666666669,0.5066666666666666,1.1600000000000001,0.5,1.0,0.9795489739536615,0.022073923662358337,0.009011641598987607,0.9618861564196458,0.9972117914876771,0.9640803268240186,0.9947654151634454,0.020451026046338635,0.022073923662358295,0.00901164159898759,0.0027882085123229587,0.038113843580354315,0.0052345848365546845,0.03566746725612258,0.8333333333333334,0.408248290463863,0.16666666666666669,0.5066666666666666,1.1600000000000001,0.5,1.0,0.03932293342745023,0.04212911552259099,0.01719913939085237,0.005612620221379587,0.07303324663352087,0.010274848575793954,0.06837101827910651,36.67381215059527,21.025010583921567,8.583424627870606,19.85029987996888,53.497324421221656,19.434161795150256,50.61504648129145,37.32440241177877,20.931748623095658,8.54535059179812,20.575515251854455,54.073289571703086,20.084628740946453,50.920362412929535
variant_fault_family,current_default|paper_aligned,3,0.6666666666666666,0.5773502691896258,0.33333333333333337,0.013333333333333197,1.32,0.0,1.0,0.9981504090133839,0.001845035448382872,0.001065231712788253,0.9960625548563189,1.000238263170449,0.9963099630996309,1.0,0.0018495909866161856,0.001845035448382897,0.0010652317127882675,-0.00023826317044881875,0.00393744514368119,0.0,0.0036900369003690036,0.6666666666666666,0.5773502691896258,0.33333333333333337,0.013333333333333197,1.32,0.0,1.0,0.0036878387718723856,0.003676523315981661,0.0021226417261639477,-0.0004725390114089516,0.007848216555153723,0.0,0.007352941176470587,37.29724848270416,32.46969365856962,18.746386374279854,0.5543311891156506,74.04016577629267,0.0,59.25758647918701,37.29724848270416,32.46969365856962,18.746386374279854,0.5543311891156506,74.04016577629267,0.0,59.25758647918701
variant_fault_family,paper_fidelity|paper_aligned,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9609475388939389,0.013292890956449257,0.007674654172014321,0.9459052167167908,0.975989861071087,0.9508196721311476,0.976,0.03905246110606108,0.013292890956449236,0.0076746541720143086,0.024010138928913037,0.05409478328320912,0.024000000000000004,0.04918032786885246,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.07495802808302808,0.02478021791188705,0.014306865482005575,0.04691657173829715,0.10299948442775901,0.046875,0.09375,36.05037581848637,7.04845020363333,4.069424622437376,28.074303558509115,44.02644807846363,31.65569544831912,44.18031565348307,37.35155634085337,6.407966351520524,3.699641098008439,30.10025978875683,44.60285289294991,31.47094213962555,44.181055545806885
