fault_id,variant,anomaly_quantile,n_runs,mean_tpr,mean_fpr,mean_alarm_fp_fraction,mean_paper_af,mean_paper_at,mean_precision,mean_recall,mean_f1
cpu_hog_like,paper_fidelity_anchor,0.85,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu_hog_like,screen_smooth_streak,0.88,6,0.3333333333333333,0.5555555555555555,0.5555555555555555,0.3444444444444444,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
cpu_hog_like,screen_threshold,0.95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu_hog_like,screen_training_topology,0.8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mem_leak,paper_fidelity_anchor,0.85,5,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.2
mem_leak,screen_smooth_streak,0.88,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mem_leak,screen_threshold,0.95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mem_leak,screen_training_topology,0.8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
