fault_id,variant,anchor_variant,delta_mean_tpr,delta_mean_fpr,delta_mean_precision,delta_mean_recall,delta_mean_f1,delta_mean_lead_time_s
cpu_hog_like,screen_smooth_streak,paper_fidelity_anchor,0.6,0.8945804146805719,0.0054195853194280936,0.6,0.010738763784919877,33.918173122406
cpu_hog_like,screen_threshold,paper_fidelity_anchor,0.6,0.8955322374832777,0.0044677625167222745,0.6,0.0088570571534402,33.35706903154597
cpu_hog_like,screen_training_topology,paper_fidelity_anchor,0.0,-0.1,0.0,0.0,0.0,0.0
mem_leak,screen_smooth_streak,paper_fidelity_anchor,0.4,0.9908773967438924,0.00912260325610775,0.4,0.017655850675428988,30.146099555492402
mem_leak,screen_threshold,paper_fidelity_anchor,0.6,0.9963012297147577,0.003698770285242283,0.6,0.007334237752523044,33.08016252815723
mem_leak,screen_training_topology,paper_fidelity_anchor,0.0,0.0,0.0,0.0,0.0,0.0
